name,code
Miles Mikolas,mikolmi01
Chris Bassitt,bassich01
Dylan Cease,ceasedy01
Gerrit Cole,colege01
Zac Gallen,galleza01
Logan Webb,webblo01
Sandy Alcantara,alcansa01
José Berríos,berrijo01
Corbin Burnes,burneco01
Luis Castillo,castilu02
Patrick Corbin,corbipa01
Kyle Gibson,gibsoky01
Lucas Giolito,giolilu01
Sonny Gray,grayso01
Mitch Keller,kellemi03
Dean Kremer,kremede01
Pablo López,lopezpa01
Jesús Luzardo,luzarje01
Aaron Nola,nolaaa01
Johan Oviedo,oviedjo01
Blake Snell,snellbl01
Zach Eflin,eflinza01
Bryce Elder,elderbr01
Kyle Freeland,freelky01
Kevin Gausman,gausmke01
Logan Gilbert,gilbelo01
Austin Gomber,gombeau01
Josiah Gray,grayjo03
Andrew Heaney,heanean01
Rich Hill,hillri01
Yusei Kikuchi,kikucyu01
Lance Lynn,lynnla01
Jordan Montgomery,montgjo01
Charlie Morton,mortoch02
Clarke Schmidt,schmicl01
JP Sears,searsjp01
Brady Singer,singebr01
Spencer Strider,stridsp01
Framber Valdez,valdefr01
Taijuan Walker,walketa01
Zack Wheeler,wheelza01
Trevor Williams,willitr01
Graham Ashcraft,ashcrgr01
Alex Cobb,cobbal01
Braxton Garrett,garrebr01
MacKenzie Gore,gorema01
Cristian Javier,javiecr01
George Kirby,kirbyge01
Michael Kopech,kopecmi01
Jordan Lyles,lylesjo01
Freddy Peralta,peralfr01
Justin Steele,steelju01
Kyle Bradish,bradiky01
Hunter Brown,brownhu01
Reid Detmers,detmere01
Jack Flaherty,flaheja01
Jon Gray,grayjo02
Merrill Kelly,kellyme01
Max Scherzer,scherma01
Kodai Senga,sengako01
Jameson Taillon,taillja01
Brayan Bello,bellobr01
Yu Darvish,darviyu01
Michael Lorenzen,lorenmi01
Ryne Nelson,nelsory01
Joe Ryan,ryanjo04
Patrick Sandoval,sandopa02
Tyler Anderson,anderty01
Tanner Bibee,bibeeta01
Zack Greinke,greinza01
Shohei Ohtani,ohtansh01
Marcus Stroman,stromma01
Seth Lugo,lugose01
Bailey Ober,oberba01
Drew Smyly,smylydr01
Justin Verlander,verlaju01
Luke Weaver,weavelu01
Logan Allen,allenlo02
Dane Dunning,dunnida01
Jake Irvin,irvinja01
Clayton Kershaw,kershcl01
Shane McClanahan,mcclash01
Tylor Megill,megilty01
Bryce Miller,millebr04
Eduardo Rodriguez,rodried05
Julio Urías,uriasju01
Carlos Carrasco,carraca01
Nathan Eovaldi,eovalna01
J.P. France,francjp01
Tony Gonsolin,gonsoto01
Kyle Hendricks,hendrky01
Martín Pérez,perezma02
Colin Rea,reaco01
Ken Waldichuk,waldike01
Tyler Wells,wellsty01
Shane Bieber,biebesh01
Aaron Civale,civalaa01
Mike Clevinger,clevimi01
Kutter Crawford,crawfku01
Domingo Germán,germado01
Alek Manoah,manoaal01
Wade Miley,mileywa01
James Paxton,paxtoja01
Grayson Rodriguez,rodrigr01
Michael Wacha,wachami01
Brandon Williamson,willibr02
Griffin Canning,cannigr01
Anthony DeSclafani,desclan01
Ranger Suárez,suarera01
Noah Syndergaard,syndeno01
Adam Wainwright,wainwad01
Andrew Abbott,abbotan01
Taj Bradley,bradlta01
Edward Cabrera,cabreed02
Hunter Greene,greenhu01
Adrian Houser,housead01
Kenta Maeda,maedake01
Steven Matz,matzst01
Bobby Miller,millebo06
Joe Musgrove,musgrjo01
David Peterson,peterda01
Luis Severino,severlu01
Joey Wentz,wentzjo01
Paul Blackburn,blackpa01
Tyler Glasnow,glasnty01
Tommy Henry,henryto01
Tanner Houck,houckta01
Eury Pérez,perezeu02
Chris Sale,salech01
Matthew Boyd,boydma01
Brandon Pfaadt,pfaadbr01
Zach Davies,davieza02
Matt Manning,mannima02
Luis Medina,medinlu02
Reese Olson,olsonre01
Cal Quantrill,quantca01
Cristopher Sánchez,sanchcr01
Bryan Woo,woobr01
Chase Anderson,anderch01
Brandon Bielak,bielabr01
Jhony Brito,britojh01
Kyle Muller,mulleky01
Connor Seabold,seaboco01
Gavin Williams,williga01
Nestor Cortes,cortene01
Alex Faedo,faedoal01
Michael Grove,grovemi01
Cole Irvin,irvinco01
Ben Lively,livelbe01
Luis Ortiz,ortizlu03
Ryan Walker,walkery01
Roansy Contreras,contrro01
Bailey Falter,falteba01
Chris Flexen,flexech01
Max Fried,friedma01
James Kaprielian,kaprija01
Matthew Liberatore,liberma01
Nick Pivetta,pivetni01
Tarik Skubal,skubata01
Ross Stripling,stripro01
Julio Teheran,teherju01
Touki Toussaint,toussto01
Ryan Weathers,weathry01
Hayden Wesneski,wesneha01
Alex Wood,woodal02
Marco Gonzales,gonzama02
Peter Lambert,lambepe01
Zack Littell,litteza01
Jared Shuster,shustja01
Louie Varland,varlalo01
Garrett Whitlock,whitlga01
Yonny Chirinos,chiriyo01
Xzavion Curry,curryxz01
José Urquidy,urquijo01
Brad Keller,kellebr01
Corey Kluber,klubeco01
Daniel Lynch IV,lynchda02
Dustin May,maydu01
José Quintana,quintjo01
Carlos Rodón,rodonca01
Jesse Scholtens,scholje01
Matt Strahm,strahma01
Jalen Beeks,beeksja02
Osvaldo Bido,bidoos01
Ty Blach,blachty01
John Brebbia,brebbjo01
Ryan Feltner,feltnry01
Eric Lauer,lauerer01
Alec Marsh,marshal01
Cole Ragans,raganco01
Drew Rasmussen,rasmudr01
Emmet Sheehan,sheehem01
Vince Velasquez,velasvi01
Brandon Woodruff,woodrbr01
Scott Alexander,alexasc02
Javier Assad,assadja01
Ronel Blanco,blancro01
Johnny Cueto,cuetojo01
Shintaro Fujinami,fujinsh01
Dakota Hudson,hudsoda02
Nick Lodolo,lodolni01
Chase Silseth,silsech01
Spencer Turnbull,turnbsp01
Ryan Yarbrough,yarbrry01
Jaime Barria,barrija01
Peyton Battenfield,battepe01
Brennan Bernardino,bernabr01
Cody Bradford,bradfco01
Luis Cessa,cessalu01
Jacob deGrom,degroja01
Hunter Gaddis,gaddihu01
Luis Garcia,garcilu05
Hogan Harris,harriho03
Bryan Hoeing,hoeinbr01
Joey Lucchesi,lucchjo01
Sean Manaea,manaese01
Nick Martinez,martini01
Quinn Priester,priesqu01
Austin Pruitt,pruitau01
Hyun Jin Ryu,ryuhy01
Michael Soroka,sorokmi01
José Suarez,suarejo01
Jake Woodford,woodfja01
Joan Adon,adonjo01
Shawn Armstrong,armstsh01
Dylan Dodd,dodddy01
Chad Kuhl,kuhlch01
Tyler Mahle,mahlety01
Zach Plesac,plesaza01
Zack Thompson,thompza02
José Ureña,urenajo01
Kyle Wright,wrighky01
Pedro Avila,avilape01
Madison Bumgarner,bumgama01
Slade Cecconi,ceccosl01
Noah Davis,davisno01
Calvin Faucher,fauchca01
Caleb Ferguson,ferguca01
Carlos Hernández,hernaca04
Andre Jackson,jacksan01
Jakob Junis,junisja01
Dallas Keuchel,keuchda01
Michael King,kingmi01
Dinelson Lamet,lametdi01
Germán Márquez,marquge01
Mason Miller,millema03
Trevor Rogers,rogertr01
Drew Rucinski,rucindr01
AJ Smith-Shawver,smithaj01
Randy Vásquez,vasqura02
Kolby Allard,allarko01
Tanner Banks,banksta01
Jake Bird,birdja01
Kris Bubic,bubickr01
Austin Cox,coxau01
Josh Fleming,flemijo01
Ian Hamilton,hamilia01
Emerson Hancock,hancoem01
Kyle Harrison,harriky01
Drey Jameson,jamesdr01
Karl Kauffmann,kauffka01
Trevor Kelley,kelletr01
Connor Overton,overtco01
Denyi Reyes,reyesde02
Lyon Richardson,richaly01
Trevor Richards,richatr01
Drew Rom,romdr01
Jeffrey Springs,sprinje01
Gavin Stone,stonega01
Will Vest,vestwi01
Allan Winans,winanal01
Ángel Zerpa,zerpaan01
Tristan Beck,becktr01
Ryan Borucki,borucry01
José Butto,buttojo01
Taylor Clarke,clarkta01
José Cuas,cuasjo01
Javy Guerra,guerrja02
Thomas Hatch,hatchto01
Brett Kennedy,kennebr02
Derek Law,lawde01
Joe Mantiply,mantijo01
Mike Mayers,mayermi01
Triston McKenzie,mckentr01
Tommy Milone,milonto01
Zach Neal,nealza01
Kaleb Ort,ortka01
Erasmo Ramírez,ramirer02
John Schreiber,schrejo01
Tayler Scott,scottta02
Colin Selby,selbyco01
Antonio Senzatela,senzaan01
Levi Stoudt,stoudle01
Matt Waldron,waldrma01
Brendan White,whitebr01
Jordan Wicks,wicksjo01
Keaton Winn,winnke01
Keegan Akin,akinke01
Tyler Alexander,alexaty01
Tejay Antone,antonte01
Matt Barnes,barnema01
Beau Brieske,briesbe01
Connor Brogdon,brogdco01
JT Chargois,chargjt01
Jesse Chavez,chaveje01
Dylan Coleman,colemdy01
Jimmy Cordero,cordeji01
Dylan Covey,coveydy01
Fernando Cruz,cruzfe01
Tucker Davidson,davidtu01
José De León,deleojo03
Matt Dermody,dermoma01
Shawn Dubin,dubinsh01
Mason Englert,englema01
Michael Fulmer,fulmemi01
Justin Garza,garzaju01
Victor González,gonzavi02
Brusdar Graterol,gratebr01
Tyler Holton,holtoty01
Joe Jacques,jacqujo01
Dany Jiménez,jimenda01
Janson Junk,junkja01
Caleb Kilian,kiliaca01
Reiss Knehr,knehrre01
Jimmy Lambert,lambeji01
Dylan Lee,leedy01
Sam Long,longsa01
Adrián Martínez,martiad01
James McArthur,mcartja01
Easton McGee,mcgeeea01
Scott McGough,mcgousc01
Collin McHugh,mchugco01
Carmen Mlodzinski,mlodzca01
Sam Moll,mollsa01
Adrián Morejón,morejad01
Kyle Nelson,nelsoky01
Steven Okert,okertst01
Adam Oller,ollerad01
Ryan Pepiot,pepiory01
Francisco Pérez,perezfr01
Connor Phillips,phillco01
Robbie Ray,rayro02
Yerry Rodríguez,rodriye01
Kenny Rosenberg,rosenke01
José Ruiz,ruizjo01
Devin Smeltzer,smeltde01
George Soriano,soriage01
Carson Spiers,spierca01
Josh Staumont,staumjo01
Freddy Tarnok,tarnofr01
Josh Taylor,taylojo02
Alex Vesia,vesiaal01
Darius Vines,vinesda01
Spenser Watkins,watkisp01
Josh Winckowski,winckjo01
Jackson Wolf,wolfja01
Rob Zastryzny,zastrro01