team,game_log_code,code
Arizona Diamondbacks,ARI,ARI
Atlanta Braves,ATL,ATL
Baltimore Orioles,BAL,BAL
Boston Red Sox,BOS,BOS
Chicago Cubs,CHC,CHC
Chicago White Sox,CHW,CHW
Cincinnati Reds,CIN,CIN
Cleveland Guardians,CLE,CLE
Colorado Rockies,COL,COL
Detroit Tigers,DET,DET
Houston Astros,HOU,HOU
Kansas City Royals,KCR,KCR
Los Angeles Angels,ANA,LAA
Los Angeles Dodgers,LAD,LAD
Miami Marlins,FLA,MIA
Milwaukee Brewers,MIL,MIL
Minnesota Twins,MIN,MIN
New York Mets,NYM,NYM
New York Yankees,NYY,NYY
Oakland Athletics,OAK,OAK
Philadelphia Phillies,PHI,PHI
Pittsburgh Pirates,PIT,PIT
San Diego Padres,SDP,SDP
Seattle Mariners,SEA,SEA
San Francisco Giants,SFG,SFG
St. Louis Cardinals,STL,STL
Tampa Bay Rays,TBD,TBR
Texas Rangers,TEX,TEX
Toronto Blue Jays,TOR,TOR
Washington Nationals,WSN,WSN